English,zh-Hans,zh-Hant,ja_JP,Notes
"Almond Frost",,,,
"Alpine",,,,
"Alternate Annotation Forms",,,,
"Alternate Half Widths",,,,
"Alternate Vertical Half Metrics",,,,
"Alternate Vertical Metrics",,,,
"Alternative Fractions",,,,
"Alto",,,,
"Aluminium",,,,
"Always",,,,
"Always Visible",,,,
"Amaranth",,,,
"Amazon",,,,
"Amber",,,,
"Americano",,,,
"Amethyst",,,,
"Amethyst Smoke",,,,
"Amour",,,,
"Amulet",,,,
"Anakiwa",,,,
"Analogous",,,,
"Anatolian Hieroglyphs",,,,
"Angle Locking",,,,
"Animate Along Path",,,,
"Animate Path",,,,
"Animated",,,,
"Animated Attribute",,,,
"Animated Attributes",,,,
"Animation",,,,
"Animation Control",,,,
"Animation Layer Filter is off",,,,
"Animation Layer Filter is off.",,,,
"Animation Layer Filter is on",,,,
"Animation Layer Filter is on.",,,,
"Animation Offset Value",,,,
"Animation Offset Value.",,,,
"Animation Utilities",,,,
"Animators",,,,
"Anticipate In",,,,
"Antique Brass",,,,
"Antique Bronze",,,,
"Any 3",,,,
"Anzac",,,,
"Apache",,,,
"Append",,,,
"Apple",,,,
"Apple Blossom",,,,
"Apple Color Emoji",,,,
"Apple Green",,,,
"Application",,,,
"Apply Track",,,,
"Apricot",,,,
"Apricot Peach",,,,
"Apricot White",,,,
"Aqua Deep",,,,
"Aqua Forest",,,,
"Aqua Haze",,,,
"Aqua Island",,,,
"Aqua Spring",,,,
"Aqua Squeeze",,,,
"Aquamarine",,,,
"Aquamarine Blue",,,,
"Arabic",,,,
"Arapawa",,,,
"Arial",,,,
"Aring",,,,
"Aringsmall",,,,
"Armadillo",,,,
"Armenian",,,,
"Arrange",,,,
"Array",,,,
"Arrow",,,,
"Arrow Keys Control Hierarchy",,,,
"Arrowtown",,,,
"Ascender Height",,,,
"Asmall",,,,
"Asparagus",,,,
"Asphalt",,,,
"Asse",,,,
"Asset Files Path",,,,
"Asset Layer",,,,
"Assets",,,,
"Assign Control Points",,,,
"Assign Tag",,,,
"Astra",,,,
"Astral",,,,
"Astronaut",,,,
"Astronaut Blue",,,,
"Athens Gray",,,,
"Aths Special",,,,
"Atilde",,,,
"Atildesmall",,,,
"Atlantis",,,,
"Atoll",,,,
"Atomic",,,,
"Atomic Tangerine",,,,
"Attach Nulls",,,,
"Attach Rubber Hose Limb",,,,
"Attr",,,,
"Attribute",,,,
"Attribute Editor",,,,
"Attribute is already connected",,,,
"Attribute is already connected.",,,,
"Attributes",,,,
"Au Chico",,,,
"Aubergine",,,,
"Audif",,,,
"Audio",,,,
"Audio Device",,,,
"Audio Folder",,,,
"Audio Monitor",,,,
"Audio Settings",,,,
"Audio could not be loaded",,,,
"Audio could not be loaded.",,,,
"Australian Mint",,,,
"Authentication Type",,,,
"Auto",,,,
"Auto Animate",,,,
"Auto Height",,,,
"Auto Width",,,,
"Auto-Animate",,,,
"Auto-Save Failed",,,,
"Automatic",,,,
"Automatic MIME types",,,,
"Autosave",,,,
"Autosave Folders",,,,
"Autosave Interval",,,,
"Autosave Limit",,,,
"Autosave is off",,,,
"Autosave is off.",,,,
"Availability",,,,
"Avestan",,,,
"Avocado",,,,
"Axolotl",,,,
"Ayhb",,,,
"Azalea",,,,
"Aztec",,,,
"Azure",,,,
"Azure Radiance",,,,
"B ffff.",,,,
"Baby Blue",,,,
"Back",,,,
"Backdrop Settings",,,,
"Background",,,,
"Background Render.",,,,
"Bahama Blue",,,,
"Bahia",,,,
"Baja White",,,,
"Bake Accuracy",,,,
"Bake Animation",,,,
"Baked",,,,
"Balanced",,,,
"Bali Hai",,,,
"Balinese",,,,
"Baltic Sea",,,,
"Bamboo",,,,
"Bamum",,,,
"Banana Mania",,,,
"Bandicoot",,,,
"Barberry",,,,
"Barley Corn",,,,
"Barley White",,,,
"Barossa",,,,
"Base",,,,
"Baseline",,,,
"Basic",,,,
"Bassa Vah",,,,
"Bastille",,,,
"Batak",,,,
"Battleship Gray",,,,
"Bay Leaf",,,,
"Bay of Many",,,,
"Bazaar",,,,
"Bean",,,,
"Bear",,,,
"Bearer",,,,
"Bearer Token",,,,
"Beat Marker Settings",,,,
"Beauty Bush",,,,
"Beaver",,,,
"Beeswax",,,,
"Behaviour",,,,
"Behaviours",,,,
"Beige",,,,
"Below-base Forms",,,,
"Below-base Mark Positioning",,,,
"Below-base Substitutions",,,,
"Bengali",,,,
"Bermuda",,,,
"Bermuda Gray",,,,
"Beryl Green",,,,
"Beta",,,,
"Bezier",,,,
"Bhaiksuki",,,,
"Bianca",,,,
"Big Stone",,,,
"Bilbao",,,,
"Biloba Flower",,,,
"Birch",,,,
"Bird Flower",,,,
"Biscay",,,,
"Bismark",,,,
"Bison Hide",,,,
"Bistre",,,,
"Bitter",,,,
"Bitter Lemon",,,,
"Bittersweet",,,,
"Bizarre",,,,
"Black",,,,
"Black Bean",,,,
"Black Forest",,,,
"Black Haze",,,,
"Black Marlin",,,,
"Black Olive",,,,
"Black Pearl",,,,
"Black Rock",,,,
"Black Rose",,,,
"Black Russian",,,,
"Black Squeeze",,,,
"Black White",,,,
"Blackberry",,,,
"Blackcurrant",,,,
"Blaze Orange",,,,
"Bleach White",,,,
"Bleached Cedar",,,,
"Blissymbols",,,,
"Blizzard Blue",,,,
"Blossom",,,,
"Blue",,,,
"Blue Bayoux",,,,
"Blue Bell",,,,
"Blue Chalk",,,,
"Blue Charcoal",,,,
"Blue Chill",,,,
"Blue Diamond",,,,
"Blue Dianne",,,,
"Blue Gem",,,,
"Blue Green",,,,
"Blue Haze",,,,
"Blue Lagoon",,,,
"Blue Marguerite",,,,
"Blue Ribbon",,,,
"Blue Romance",,,,
"Blue Smoke",,,,
"Blue Stone",,,,
"Blue Violet",,,,
"Blue Whale",,,,
"Blue Zodiac",,,,
"Blumine",,,,
"Blush",,,,
"Blush Pink",,,,
"Bold",,,,
"Bold Angle",,,,
"Bombay",,,,
"Bon Jour",,,,
"Bondi Blue",,,,
"Bone",,,,
"Book",,,,
"Boolean",,,,
"Bopomofo",,,,
"Bordeaux",,,,
"Bossanova",,,,
"Boston Blue",,,,
"Botticelli",,,,
"Bottle Green",,,,
"Bottom",,,,
"Bottom Align",,,,
"Bottom Left",,,,
"Bottom Right",,,,
"Boulder",,,,
"Bounce",,,,
"Bounce IH",,,,
"Bounce In",,,,
"Bounce OH",,,,
"Bounce Out",,,,
"Bounce Out Magic Easing set",,,,
"Bounce Out Magic Easing set.",,,,
"Bounding Box",,,,
"Bounding Box Constraint",,,,
"Bouquet",,,,
"Bourbon",,,,
"Bracken",,,,
"Brahmi",,,,
"Braille",,,,
"Brandy",,,,
"Brandy Punch",,,,
"Brandy Rose",,,,
"Break",,,,
"Break B",,,,
"Breaker Bay",,,,
"Brevesmall",,,,
"Brick Red",,,,
"Bridal Heath",,,,
"Bridesmaid",,,,
"Bright Gray",,,,
"Bright Green",,,,
"Bright Red",,,,
"Bright Sun",,,,
"Bright Turquoise",,,,
"Brilliant Rose",,,,
"Bring Forward",,,,
"Bring to Front",,,,
"Brink Pink",,,,
"Bronco",,,,
"Bronze",,,,
"Bronze Olive",,,,
"Bronzetone",,,,
"Broom",,,,
"Brown",,,,
"Brown Bramble",,,,
"Brown Derby",,,,
"Brown Pod",,,,
"Brown Rust",,,,
"Brown Tumbleweed",,,,
"Bsmall",,,,
"Bubbles",,,,
"Buccaneer",,,,
"Buddha Gold",,,,
"Buff",,,,
"Buginese",,,,
"Buhid",,,,
"Built-in",,,,
"Built-in Presets",,,,
"Bulgarian Rose",,,,
"Bull Shot",,,,
"Bunker",,,,
"Bunting",,,,
"Burgundy",,,,
"Burnham",,,,
"Burning Orange",,,,
"Burning Sand",,,,
"Burnt Maroon",,,,
"Burnt Orange",,,,
"Burnt Sienna",,,,
"Burnt Umber",,,,
"Bush",,,,
"Buttercup",,,,
"Buttered Rum",,,,
"Butterfly Bush",,,,
"Buttermilk",,,,
"Buttery White",,,,
"Button",,,,
"Cab Sav",,,,
"Cabaret",,,,
"Cabbage Pont",,,,
"Cache Solver",,,,
"Cache Solvers",,,,
"Cactus",,,,
"Cacute",,,,
"Cadet Blue",,,,
"Cadillac",,,,
"Cafe Royale",,,,
"Calico",,,,
"California",,,,
"Calypso",,,,
"Camarone",,,,
"Camelot",,,,
"Cameo",,,,
"Camera",,,,
"Camera Bookmarks",,,,
"Cameras",,,,
"Camouflage",,,,
"Camouflage Green",,,,
"Can Can",,,,
"Canary",,,,
"Cancel",,,,
"Cancel Uploads",,,,
"Cancelled",,,,
"Candlelight",,,,
"Candy Corn",,,,
"Cannon Black",,,,
"Cannon Pink",,,,
"Cannot render",,,,
"Canva",,,,
"Canva Sans",,,,
